polaridad,subjetividad,sentimiento,word_count
-0.4939,0.0,neu,2
-0.7273,0.3625,neg,15
-0.5106,0.3,neg,3
0.4215,0.7111111111111111,neu,14
-0.5106,0.0,neg,7
-0.8225,0.3,neg,18
0.7717,0.5,pos,22
-0.2732,0.45,neu,6
0.6486,0.7,pos,7
0.0772,0.95,neu,4
-0.4939,0.0,neu,2
0.25,0.3,neu,7
0.8971,0.5900000000000001,pos,20
-0.4404,0.0,neu,5
-0.3612,1.0,neu,7
0.4019,0.5,neu,3
-0.9153,0.65,neg,14
-0.7096,0.0,neg,6
-0.8411,0.6333333333333333,neg,15
0.0,0.4,neu,17
-0.5106,0.0,neg,2
0.296,0.5,neu,14
-0.4404,0.7625,neu,11
0.0772,0.0,neu,9
0.8889,0.5895833333333333,pos,20
-0.34,0.0,neu,6
-0.0772,1.0,neu,8
0.4019,0.05,neu,25
0.0,0.9,neu,3
-0.885,0.13333333333333333,neg,17
0.9062,0.53,pos,23
0.802,0.4,pos,6
-0.7096,0.0,neg,12
-0.5423,0.375,neg,5
-0.1531,0.6,neu,13
-0.3818,0.5214285714285715,neu,12
-0.8748,0.5666666666666667,neg,23
-0.0258,0.7,neu,9
-0.0516,0.0,neu,25
-0.5106,0.0,neg,17
0.3818,0.7575000000000001,neu,16
0.7351,0.0,pos,19
-0.4939,0.0,neu,2
0.6735,0.3523809523809524,pos,12
-0.8779,0.6333333333333334,neg,25
0.6449,0.6333333333333333,pos,25
0.0,0.9,neu,12
0.4134,0.55,neu,7
0.3182,0.3,neu,9
-0.2263,0.8666666666666667,neu,16
-0.4404,0.25,neu,19
-0.8807,0.4178571428571428,neg,27
-0.5106,0.0,neg,2
-0.9164,0.0,neg,24
0.1779,1.0,neu,23
0.0772,0.0,neu,10
-0.2732,0.8,neu,13
-0.4939,0.0,neu,4
-0.5106,0.0,neg,2
-0.296,0.0,neu,5
-0.1531,0.0,neu,4
-0.3612,1.0,neu,17
-0.8555,0.24444444444444444,neg,21
0.0258,0.9,neu,9
0.0,0.9,neu,10
0.0,0.0,neu,4
-0.3246,0.8138888888888888,neu,16
-0.6705,0.95,neg,15
-0.7902,0.8,neg,4
-0.4404,0.0,neu,4
0.7003,0.2,pos,11
0.0258,0.5,neu,18
-0.4215,0.1,neu,9
-0.1689,0.2,neu,14
-0.2263,0.0,neu,9
-0.0258,0.5622564935064935,neu,16
-0.6597,0.0,neg,14
-0.5106,0.0,neg,2
0.0,0.65,neu,3
-0.6486,0.15000000000000002,neg,12
-0.4939,0.0,neu,3
-0.5106,0.4,neg,8
-0.5267,0.55,neg,5
-0.4404,0.1,neu,5
-0.8225,0.10714285714285714,neg,4
-0.7269,0.75,neg,11
-0.4939,0.3666666666666667,neu,20
-0.5106,0.0,neg,3
0.0,0.7333333333333334,neu,20
