timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-11-19,Know what’s even a higher form (and more cringey): Listening to yourself speak a foreign/second language on tape. We had to do this for Spanish class in high school where we recorded ourselves responding to open ended questions. The fear this instilled. 🤦🏾‍♂️ https://t.co/wxcE46nNR9,b'pralinedrug',[],United States,104,0,0
2021-11-19,@ChrisLinfordE @jedkerw @DCI_Kenya @Simon_Mwangi9 @Wamuhu_ Your problem is internal. Talk to God. He is not afraid of your anger. Have a good night,b'zionpearl',[],The Secret Place,21619,0,0
2021-11-19,"I love that something like Coursera exists and there's so much we can learn with minimal pain, but can someone tell me how to turn off the cringey intro and background music in those videos?!? I CANNOT STAND THAT!",b'VirtuallyExists',[],Karachi,288,0,0
2021-11-19,"@Chris__Dukes I actually thought that made sense because like Luffy, Daz Bones' DF changes his body's make up. I'd argue he's got a low pain threshold in comparison to someone like Zoro because he wasn't hurt often. So him taking one huge clash would put him down. Still a hard fight.",b'YoungPaperwork',[],Karaka's Heart,653,0,0
2021-11-19,@zgrier24 I wish our country was a place where nobody had to feel afraid. Sorry Zachary.,b'RyanChurch2',[],,757,0,0
2021-11-19,@WendyRogersAZ So next time you protest I can Kyle if someone throws a plastic bag or if I’m afraid of a plastic bag.,b'KumaNabru',[],,0,0,0
2021-11-19,@piscesencrisis her artpop era i fear,b'FKATWINK',[],miami,16182,0,0
2021-11-19,@hwahwajoong HEHEHE thank you for worrying though and im sick too tbh but im just having a slight sore throat and a runny nose :’),b'hwagazine',[],she/her 17 rcbyf,372,0,0
2021-11-19,"@Bouffizzle207 @thickyfingerz @WUTangKids Don't worry, I knew you were lying that was the whole point of asking you for proof.",b'GobeLasers',[],pdx,97,0,0
2021-11-19,"@CapehartJ Aguilty White man has much less to fear from the ""justice"" system than an innocent Black man.",b'maoriora',[],,14,0,0
2021-11-19,"@soulscreme @corybarlog Doesn't matter. They still attacked him. Also, that kill was self defense as well. One less rapist the world has to worry about, yeah?🙏😊",b'TheGreatSage__',[],Riding The Waves Of The Cosmos,178,0,0
2021-11-19,Trend but this time its from someone who isnt afraid to say they will shit on you https://t.co/Ua3Gl63X6V,b'Little_Dyl',[],,274,0,0
2021-11-19,@deathoftheparty Great and insightful interview. Hope you're doing as well as you can now. I'm sure you know your music helps a lot of us go through similar areas of uncertainty with our lives.,b'themktgdudePaul',[],New Jersey,608,0,0
2021-11-19,Im at a point where im trying really hard to ignore negativity,b'treboogieee',[],,521,0,0
2021-11-19,This oughtta put the fear a' God in 'em.,b'biker_ebooks',[],,34,0,0
2021-11-19,@MulunehTeka @POTUS @Joe @VP @SecBlinken He is just having colonoscopy. Now he know what is like to have a pain in the a#@!!! 🤣,b'RomanEyasu',[],,9,0,0
2021-11-19,decided to challenge myself and have a fear food for dinner | made some spicy bolognese pasta for me and my maid :)) https://t.co/UitXrCgYmK,b'kcalery',[],he/him ,213,0,0
2021-11-19,@Meghaaa_B 😂😭😂😭 the pain is real,b'ItzNiyu_x',[],India,48,0,1
2021-11-19,I don’t want anyone worrying about me out on the battlefield or anything.,b'rembot_',[],,192,0,0
2021-11-19,"@noodles_nood oh lord, what does that say about their educations.... we’ll keep up the work to raise awareness and consciousness until every person who identifies as trans has the same rights as cis people and can wake up without fear of abuse, humiliation, or rejection.",b'fionagorman121',[],,4,0,0
2021-11-19,Wetin pain me pass when that ediott say Wiz Dey owe Na why e no release vid…LUNATE😒,b'Deshane_rasta',[],,359,0,0
2021-11-19,@iko96922316 @liakosbournovas @TurkishAirlines And as a Greek Pontic it's normal to fear the Turkish especially after what they did to my family and my village.,b'Erisadesu',[],Greece,1351,0,0
2021-11-19,"@TheLowlyCat But two people are dead, that is a loss. And while you offer words, I worry that your sentiment is other then kind. The system needs fixing.",b'NicoloOnorato',[],,209,0,0
2021-11-19,@__traumadump0 Little pain then gain,b'insomniac__24',[],,135,0,0
2021-11-19,"These guys sure are a pain... Come on, let's just get out of here.",b'machinabot_',[],,189,0,0
2021-11-19,@ZssBecker Solid advice but…most people have no idea on how or even where to start. Any tips on where to start?? I agree and not afraid of hard work and helping to build the future. How about giving me some of that Alpha?,b'MattMarkham13',[],,4,0,1
2021-11-19,"Don't Worry @RBReich !! Sane People are Worried, but, Better Yet, Sane Folks are getting Ready for Civil War II , and It's going to end All Wars !! We're Not going to take Prisoners and we ain't going to let them go home a claim they Won when it's Over. and we're going to ... https://t.co/GqSjr8m6y1",b'RickDav41117830',[],,216,0,0
2021-11-19,@Tapan_999 @zoo_bear @anjanaomkashyap aka “Pappa ki Pari” Never told any cons of these laws. Her every whole is filled with money given to her by BJP to bark on national media. Now there is pain all bahkts and news anchors are feeling but can’t tell where is it since its shameful for them to tell,b'PunjabiTeam',[],🇺🇸,209,0,0
